origin,destination,weekday,start_hour,end_hour,trip_duration,date
4,4,Tue,15,8,1059.5,18/3/20
5,5,Sun,10,11,35.15,16/3/20
2,3,Thu,12,12,40.14,20/3/20
5,3,Sat,6,6,50.21,8/3/20
0,3,Sun,13,3,868.09,23/3/20
5,0,Mon,5,5,35.15,24/3/20
3,5,Sat,18,19,55.23,8/3/20
4,7,Wed,15,15,25.08,12/3/20
2,3,Mon,6,7,25.1,17/3/20
4,4,Wed,0,1,25.11,19/3/20
5,5,Fri,7,7,35.12,20/3/20
7,7,Sat,21,21,30.1,15/3/20
2,7,Sun,15,15,35.13,16/3/20
7,1,Mon,18,19,25.11,17/3/20
7,3,Sun,9,10,35.13,16/3/20
2,3,Mon,12,13,45.15,31/3/20
5,2,Sat,10,10,25.08,29/3/20
5,2,Mon,18,19,60.21,31/3/20
4,7,Sat,8,8,50.21,8/3/20
1,7,Mon,10,11,30.12,17/3/20
7,3,Sun,16,17,50.17,16/3/20
7,5,Mon,17,18,40.14,31/3/20
3,7,Mon,16,17,35.12,31/3/20
7,7,Sat,20,21,30.12,15/3/20
3,3,Sat,15,16,10.03,29/3/20
3,1,Sun,20,21,10.03,16/3/20
6,6,Thu,11,11,20.07,20/3/20
2,2,Mon,22,22,15.05,31/3/20
3,3,Sun,8,8,20.07,30/3/20
3,3,Sun,14,15,20.07,30/3/20
3,3,Fri,9,9,15.06,20/3/20
3,3,Tue,7,7,20.07,18/3/20
3,3,Fri,6,7,50.17,20/3/20
4,4,Mon,13,14,65.25,24/3/20
0,0,Sat,11,11,10.03,29/3/20
3,3,Mon,0,0,5.02,31/3/20
1,1,Mon,15,15,5.02,24/3/20
7,7,Thu,10,10,10.03,27/3/20
7,7,Tue,19,20,15.05,25/3/20
3,3,Fri,10,11,55.23,20/3/20
3,3,Sat,8,8,10.03,29/3/20
3,1,Sat,10,11,40.15,8/3/20
4,1,Mon,14,15,15.05,24/3/20
4,3,Sat,6,7,60.22,29/3/20
2,3,Fri,8,9,20.08,20/3/20
7,7,Wed,11,16,306.06,26/3/20
1,6,Tue,11,12,25.09,25/3/20
4,7,Tue,14,16,90.31,25/3/20
3,3,Fri,12,12,30.1,20/3/20
